Ranking,Gestora,Score,VVs,Camas,Camas/VV,Islas,Municipios,Complejos,Concentracion,Score Complejos,Lat,Lon,Direccion Ejemplo,Map URL
1,"Resort Cordial Santa Agueda",93,87,380,4.4,"Gran Canaria","San Bartolome De Tirajana","Resort Cordial Santa Agueda",100,100,27.754439,-15.675166,"Ds El Pajar Suelo Parcela 1 1",http://localhost:3000/installer/prospecting?lat=27.754439&lon=-15.675166&zoom=15
2,"Bungalow",67,10,39,3.9,"Gran Canaria, Tenerife","San Bartolome De Tirajana, Santiago Del Teide","Bungalow",85,100,27.813566,-15.758097,"Agustín Millares Carló 005 Puerta 62",http://localhost:3000/installer/prospecting?lat=27.813566&lon=-15.758097&zoom=15
3,"Apartamentos Carolina",62,6,19,3.2,"Gran Canaria, Tenerife","Mogan, Arona","Apartamentos Carolina",85,100,28.01043,-16.547043,"Avda De Los Cardones 5",http://localhost:3000/installer/prospecting?lat=28.010430&lon=-16.547043&zoom=15
4,"Villa Blanca",61,5,37,7.4,"Tenerife, Gran Canaria","Adeje, Mogan","Villa Blanca",85,100,28.026115,-16.484668,"Avenida Europa 54",http://localhost:3000/installer/prospecting?lat=28.026115&lon=-16.484668&zoom=15
5,"Amarilla Maintenance Service, S.L.U.",59,43,123,2.9,"Tenerife","San Miguel De Abona","",100,0,28.023951,-16.617233,"Avda. Maria De Los Angeles Ascanio Cullen 26",http://localhost:3000/installer/prospecting?lat=28.023951&lon=-16.617233&zoom=15
6,"Callao Veintidos S.L",58,39,146,3.7,"Tenerife","Adeje","",100,0,28.128701,-16.778006,"Avda Las Galgas 6 1  0 A",http://localhost:3000/installer/prospecting?lat=28.128701&lon=-16.778006&zoom=15
7,"Apartamento",55,28,98,3.5,"Tenerife, Gran Canaria, Fuerteventura","Granadilla De Abona, Las Palmas De Gran Canaria, San Bartolome De Tirajana, Valleseco, Mogan, Puerto De La Cruz, Arona, Los Silos, Adeje, Santiago Del Teide, El Rosario, Santa Cruz Tenerife, Los Realejos, La Oliva, Arico","Apartamento",0,100,28.181155,-16.101551,"Calle Angel Guimera 6, Piso 1b, Puerta 5",http://localhost:3000/installer/prospecting?lat=28.181155&lon=-16.101551&zoom=15
8,"Apartamento Vacacional",53,5,23,4.6,"Gran Canaria, Tenerife","Ingenio, Granadilla De Abona, Guimar, Santa Cruz Tenerife","Apartamento Vacacional",55,100,28.125105,-16.001886,"Dámaso Alonso 004 1º A",http://localhost:3000/installer/prospecting?lat=28.125105&lon=-16.001886&zoom=15
9,"Kategora Rentals S.L.",53,33,133,4,"Tenerife","Arico, Adeje","",85,0,28.141648,-16.44461,"Playas De Arico 1 A A1",http://localhost:3000/installer/prospecting?lat=28.141648&lon=-16.444610&zoom=15
10,"Contratas Barambio S.L.",53,35,78,2.2,"Lanzarote","Teguise, Haria","",85,0,29.080859,-13.452569,"Montaña Redonda 10 E   11",http://localhost:3000/installer/prospecting?lat=29.080859&lon=-13.452569&zoom=15
11,"Estrella Del Norte",51,28,58,2.1,"Tenerife, Fuerteventura","Icod De Los Vinos, La Oliva","",85,0,28.37578,-16.612787,"Ctra. El Amparo, 75, Piso 3º, Vda. 13",http://localhost:3000/installer/prospecting?lat=28.375780&lon=-16.612787&zoom=15
12,"Kategora Rentals Sl",50,16,60,3.8,"Tenerife","Arico","",100,0,28.141584,-16.444405,"Ur Caleta Maria Luisa 5 H H2",http://localhost:3000/installer/prospecting?lat=28.141584&lon=-16.444405&zoom=15
13,"Grupo Comares Amc",50,25,85,3.4,"Tenerife","Puerto De La Cruz, Arona","",85,0,28.402392,-16.553246,"Calle La Hoya 29",http://localhost:3000/installer/prospecting?lat=28.402392&lon=-16.553246&zoom=15
14,"Grupo Comares",50,35,144,4.1,"Tenerife","Arona, Puerto De La Cruz, La Orotava","",70,0,28.166407,-16.658271,"Calle Amalia Alayon 11",http://localhost:3000/installer/prospecting?lat=28.166407&lon=-16.658271&zoom=15
15,"Nexus Leisure Group, S.L.",48,13,39,3,"Tenerife","Arona","",100,0,28.053658,-16.704627,"Calle Los Ángeles 4",http://localhost:3000/installer/prospecting?lat=28.053658&lon=-16.704627&zoom=15
16,"Carlomar",47,19,58,3.1,"Tenerife","Guia Isora, Santiago Del Teide","",85,0,28.18614,-16.820144,"C/ Isla Del Hierro, 55, 1º, Appto. 1a",http://localhost:3000/installer/prospecting?lat=28.186140&lon=-16.820144&zoom=15
17,"Cordial Mogan Solaz",47,12,43,3.6,"Gran Canaria","Mogan","",100,0,27.820603,-15.76074,"Calle La Puntilla 26 35139 1   201, Puerto De Mogan, Mogan, Gran Canaria",http://localhost:3000/installer/prospecting?lat=27.820603&lon=-15.760740&zoom=15
18,"Notar",47,18,61,3.4,"Gran Canaria","Mogan, Las Palmas De Gran Canaria","",85,0,27.805883,-15.672288,"Calle Vicealmirante Fontan Lobe 26",http://localhost:3000/installer/prospecting?lat=27.805883&lon=-15.672288&zoom=15
19,"Macaronesian Rentals",47,26,133,5.1,"Tenerife, La Gomera","Adeje, Arona, San Sebastian De La Gomera","",70,0,NaN,NaN,"Calle El Mojon  16  B 0 25",http://localhost:3000/installer/prospecting?lat=NaN&lon=NaN&zoom=15
20,"Mareverde",46,11,33,3,"Tenerife","Adeje","",100,0,28.086374,-16.730756,"Avda. Ernesto Sarti, Nº 10, Bloque D, Pta. 9",http://localhost:3000/installer/prospecting?lat=28.086374&lon=-16.730756&zoom=15
21,"Canteras Way",46,11,58,5.3,"Gran Canaria","Las Palmas De Gran Canaria","",100,0,28.135002,-15.437279,"Secretario Padilla 76   2 D",http://localhost:3000/installer/prospecting?lat=28.135002&lon=-15.437279&zoom=15
22,"Parque Santiago 1",46,11,39,3.5,"Tenerife","Arona","",100,0,28.058969,-16.7345,"Avenida Puig Lluvina 34  3",http://localhost:3000/installer/prospecting?lat=28.058969&lon=-16.734500&zoom=15
23,"San Bernardo",45,14,56,4,"Tenerife, Gran Canaria","Los Silos, Las Palmas De Gran Canaria","",85,0,28.348946,-16.732586,"C/ Canteras Piso 2, Pta 8 (San Bernardo)",http://localhost:3000/installer/prospecting?lat=28.348946&lon=-16.732586&zoom=15
24,"Orlando",45,14,42,3,"Tenerife","Arona, Adeje","",85,0,28.075623,-16.722502,"C/ Hesperides - Apts Atlantic View N 6 Piso 1 Pt 110",http://localhost:3000/installer/prospecting?lat=28.075623&lon=-16.722502&zoom=15
25,"Playa Honda",45,15,44,2.9,"Tenerife, Lanzarote","Arona, San Bartolome","",85,0,28.14909,-16.415839,"Avda. Noelia Alonso Cabrera,6  Piso 2 Pta. 212",http://localhost:3000/installer/prospecting?lat=28.149090&lon=-16.415839&zoom=15
26,"El Beril",45,10,33,3.3,"Tenerife","Adeje","",100,0,28.093241,-16.745506,"Urb El Beril, 29 Pta 72",http://localhost:3000/installer/prospecting?lat=28.093241&lon=-16.745506&zoom=15
27,"Villa Margarita",45,7,49,7,"Gran Canaria, Tenerife, Lanzarote","Arucas, Arico, Teror, Telde, San Bartolome, Adeje, Puerto De La Cruz","Villa Margarita",10,100,28.30444,-15.738165,"Gumidafe 13",http://localhost:3000/installer/prospecting?lat=28.304440&lon=-15.738165&zoom=15
28,"Roque Del Conde",45,9,56,6.2,"Tenerife","Adeje","",100,0,28.093325,-16.713876,"Calle La Rioja 13",http://localhost:3000/installer/prospecting?lat=28.093325&lon=-16.713876&zoom=15
29,"Sunny Island",45,62,263,4.2,"Tenerife, Fuerteventura","Santa Cruz Tenerife, El Rosario, Puerto De La Cruz, San Cristobal De La Laguna, Granadilla De Abona, Antigua","",25,0,28.457897,-16.275461,"Avenida Tres De Mayo 14",http://localhost:3000/installer/prospecting?lat=28.457897&lon=-16.275461&zoom=15
30,"Rocas Rojas",44,9,35,3.9,"Gran Canaria","San Bartolome De Tirajana","",100,0,27.773034,-15.544681,"C/ Las Margaritas 9",http://localhost:3000/installer/prospecting?lat=27.773034&lon=-15.544681&zoom=15
31,"Sunsuites Carolina",44,9,27,3,"Gran Canaria","San Bartolome De Tirajana","",100,0,27.76768,-15.54598,"Calle Las Dalias 1  8",http://localhost:3000/installer/prospecting?lat=27.767680&lon=-15.545980&zoom=15
32,"Charles Moe S.L.U",44,9,24,2.7,"Gran Canaria","Mogan","",100,0,27.761676,-15.684106,"Calle La Lajilla 2",http://localhost:3000/installer/prospecting?lat=27.761676&lon=-15.684106&zoom=15
33,"La Montañeta Los Nogueros S.L.",44,9,29,3.2,"Tenerife","Adeje","",100,0,28.127288,-16.780228,"Cl La Tosca  3 B 0 1º 3",http://localhost:3000/installer/prospecting?lat=28.127288&lon=-16.780228&zoom=15
34,"Finca Tomas Y Puri",44,9,28,3.1,"Gran Canaria","San Bartolome De Tirajana","",100,0,27.897755,-15.5709,"Carretera Gran Canaria 60",http://localhost:3000/installer/prospecting?lat=27.897755&lon=-15.570900&zoom=15
35,"Reyes Natur",44,9,35,3.9,"Lanzarote","Haria","",100,0,29.085622,-13.452429,"Cl Seifio 5 001 00",http://localhost:3000/installer/prospecting?lat=29.085622&lon=-13.452429&zoom=15
36,"Isla Verde",43,18,53,2.9,"Tenerife, La Palma","Arona, San Miguel De Abona, Villa De Mazo","",70,0,28.066336,-16.686244,"Carretera General Antigua, Nº 29, Bloque G, Vda. 3 29",http://localhost:3000/installer/prospecting?lat=28.066336&lon=-16.686244&zoom=15
37,"Nivaria Beach",43,11,46,4.2,"Tenerife","Arico, Adeje","",85,0,28.141371,-16.443719,"Playa De Arico 1",http://localhost:3000/installer/prospecting?lat=28.141371&lon=-16.443719&zoom=15
38,"Crova S.L.",43,11,54,4.9,"Tenerife","Candelaria, Santa Cruz Tenerife","",85,0,28.416074,-16.308489,"Avenida Maritima 8  B",http://localhost:3000/installer/prospecting?lat=28.416074&lon=-16.308489&zoom=15
39,"Maria Elsa Acosta Cabello",43,8,24,3,"Tenerife","Santa Cruz Tenerife","",100,0,28.468434,-16.253703,"C/San Lucas, Vivienda Nº1 40",http://localhost:3000/installer/prospecting?lat=28.468434&lon=-16.253703&zoom=15
40,"Callao Salvaje, Urbanizacion Esquivel, S.A.",43,8,30,3.8,"Tenerife","Adeje","",100,0,28.127288,-16.780228,"Cl La Tosca 3 B 0 1º 18",http://localhost:3000/installer/prospecting?lat=28.127288&lon=-16.780228&zoom=15
41,"Finca Navelo Slu",43,8,22,2.8,"Gran Canaria","Aguimes","",100,0,27.901516,-15.456824,"Lugar Lomo Ancon - Finca Falcon Cresta  60",http://localhost:3000/installer/prospecting?lat=27.901516&lon=-15.456824&zoom=15
42,"Canary Holidays 2000",42,16,59,3.7,"Tenerife","Santa Cruz Tenerife, Arona, San Cristobal De La Laguna","",70,0,28.26096,-16.457263,"Avenida Tres De Mayo, Nº 17, Bloque 2, Piso 4º, Puerta B",http://localhost:3000/installer/prospecting?lat=28.260960&lon=-16.457263&zoom=15
43,"San Diego",42,10,42,4.2,"Tenerife","La Matanza De Acentejo, Garachico","",85,0,28.44852,-16.491611,"Trasera Acentejo Primera Nº 6, Bloque 1,  Pta.1",http://localhost:3000/installer/prospecting?lat=28.448520&lon=-16.491611&zoom=15
44,"Port Royale",42,11,30,2.7,"Tenerife","Arona, Adeje","",85,0,28.051744,-16.703561,"Calle Sierra Nevada, 4, Piso 35, Puerta 35 38650    , Cristianos (Los), Arona, Tenerife",http://localhost:3000/installer/prospecting?lat=28.051744&lon=-16.703561&zoom=15
45,"Las Canteras",42,7,23,3.3,"Gran Canaria","Las Palmas De Gran Canaria","",100,0,28.140858,-15.434087,"Nicolás Estévanez 065 Sexto, Puerta 503",http://localhost:3000/installer/prospecting?lat=28.140858&lon=-15.434087&zoom=15
46,"Callao Veintidos S.L.",42,7,25,3.6,"Tenerife","Adeje","",100,0,28.128726,-16.778234,"Avenida La Galga 6 3 3 3 17",http://localhost:3000/installer/prospecting?lat=28.128726&lon=-16.778234&zoom=15
47,"Global Management Tenerife Sl",42,7,33,4.7,"Tenerife","Santa Cruz Tenerife","",100,0,28.470039,-16.272843,"Calle Mencey Bencomo  25",http://localhost:3000/installer/prospecting?lat=28.470039&lon=-16.272843&zoom=15
48,"Iberican Foster, Sl",42,7,28,4,"Lanzarote","Yaiza","",100,0,28.863796,-13.870772,"Irlanda 7",http://localhost:3000/installer/prospecting?lat=28.863796&lon=-13.870772&zoom=15
49,"Casa Medano",41,9,42,4.7,"Tenerife, Fuerteventura","Granadilla De Abona, Pájara","",85,0,28.043162,-16.540969,"C/ La Gaviota, 23, 2º, Appto. 17",http://localhost:3000/installer/prospecting?lat=28.043162&lon=-16.540969&zoom=15
50,"La Tejita",41,9,30,3.3,"Tenerife","Granadilla De Abona, Santa Cruz Tenerife","",85,0,28.034908,-16.561105,"Calle Pizarro, Nº 2, Bloque I, Piso 1, Puerta H",http://localhost:3000/installer/prospecting?lat=28.034908&lon=-16.561105&zoom=15
51,"Callao Salvaje, Urbanizacion Esquivel,S.A",41,6,21,3.5,"Tenerife","Adeje","",100,0,28.127288,-16.780228,"Cl La Tosca 3 A 0 1º 6",http://localhost:3000/installer/prospecting?lat=28.127288&lon=-16.780228&zoom=15
52,"Vv Apartments Ragar S.L.",41,6,18,3,"Gran Canaria","Las Palmas De Gran Canaria","",100,0,28.1353,-15.438933,"Calle El Cid 7   0 I",http://localhost:3000/installer/prospecting?lat=28.135300&lon=-15.438933&zoom=15
53,"Vistas Dunas",41,6,34,5.7,"Fuerteventura","La Oliva","",100,0,28.696055,-13.875276,"Calle Pardela Golden Park  40",http://localhost:3000/installer/prospecting?lat=28.696055&lon=-13.875276&zoom=15
54,"Los Angeles",40,8,29,3.6,"Tenerife","Arona, Santiago Del Teide","",85,0,28.128585,-16.765599,"Avda Juan Carlos I N 37  Bl 01  Piso 1 Pt 123",http://localhost:3000/installer/prospecting?lat=28.128585&lon=-16.765599&zoom=15
55,"Emycanarias Holiday Homes",40,8,68,8.5,"Gran Canaria","Aguimes, Santa Lucia De Tirajana","",85,0,27.847396,-15.441701,"De Los Pescadores 31",http://localhost:3000/installer/prospecting?lat=27.847396&lon=-15.441701&zoom=15
56,"Https://Instagram.Com/Holidayhomeslanzarote?I",40,8,33,4.1,"Lanzarote","Teguise, Tias","",85,0,28.974594,-13.616909,"Calle Brezp Del Mar  31",http://localhost:3000/installer/prospecting?lat=28.974594&lon=-13.616909&zoom=15
57,"Los Molinos",39,39,107,2.7,"Tenerife, Gran Canaria, La Palma, Fuerteventura, Lanzarote","Vilaflor De Chasna, San Cristobal De La Laguna, San Bartolome De Tirajana, Los Llanos De Aridane, Antigua, Teguise","",25,0,27.956195,-15.569784,"C/ Los Molinos, 1, Vivienda 1",http://localhost:3000/installer/prospecting?lat=27.956195&lon=-15.569784&zoom=15
58,"Chaparral",39,5,14,2.8,"Tenerife","Arona","",100,0,28.010983,-16.646428,"Jose Antonio Tavio 4",http://localhost:3000/installer/prospecting?lat=28.010983&lon=-16.646428&zoom=15
59,"Medano Beach",39,6,169,28.2,"Tenerife","Granadilla De Abona, Santa Cruz Tenerife","",85,0,28.050879,-16.528277,"Avda Europa, 36-38, Urb. Medano Beach",http://localhost:3000/installer/prospecting?lat=28.050879&lon=-16.528277&zoom=15
60,"Canteras",39,5,22,4.4,"Gran Canaria","Las Palmas De Gran Canaria","",100,0,28.142328,-15.433097,"Olof Palme 001 4º, Pta. 407",http://localhost:3000/installer/prospecting?lat=28.142328&lon=-15.433097&zoom=15
61,"Canteras Beach",39,5,13,2.6,"Gran Canaria","Las Palmas De Gran Canaria","",100,0,28.135502,-15.438852,"Jose Franchy Roca 035",http://localhost:3000/installer/prospecting?lat=28.135502&lon=-15.438852&zoom=15
62,"Bahia Meloneras",39,5,20,4,"Gran Canaria","San Bartolome De Tirajana","",100,0,27.746272,-15.609243,"C/ Mar Caspio, N 43 35100    , San Bartolome De Tirajana, San Bartolome De Tirajana, Gran Canaria",http://localhost:3000/installer/prospecting?lat=27.746272&lon=-15.609243&zoom=15
63,"Real Monglares",39,5,15,3,"Gran Canaria","Mogan","",100,0,27.757322,-15.681499,"Cl Alonso Quesada 8 Pl:01 Pt:4 Mogan 8",http://localhost:3000/installer/prospecting?lat=27.757322&lon=-15.681499&zoom=15
64,"Kategora Rentals Slu",39,5,22,4.4,"Tenerife","Arico","",100,0,28.141284,-16.443437,"Playas De Arico 1 A",http://localhost:3000/installer/prospecting?lat=28.141284&lon=-16.443437&zoom=15
65,"Amarilla Golf",39,5,16,3.2,"Tenerife","San Miguel De Abona","",100,0,28.022799,-16.615549,"Calle Cornical 52",http://localhost:3000/installer/prospecting?lat=28.022799&lon=-16.615549&zoom=15
66,"Puerto De La Cruz",39,5,17,3.4,"Tenerife","Puerto De La Cruz","",100,0,28.416271,-16.545484,"Iriarte 6",http://localhost:3000/installer/prospecting?lat=28.416271&lon=-16.545484&zoom=15
67,"Amarilla Maintenance Service S.L.U.",39,5,15,3,"Tenerife","San Miguel De Abona","",100,0,28.023951,-16.617233,"Avda. Maria De Los Angeles Ascanio Cullen 26",http://localhost:3000/installer/prospecting?lat=28.023951&lon=-16.617233&zoom=15
68,"Hogar Y Sol S.L.",39,5,18,3.6,"Tenerife","Adeje","",100,0,28.074642,-16.730036,"Avenida De Los Pueblos 14  1",http://localhost:3000/installer/prospecting?lat=28.074642&lon=-16.730036&zoom=15
69,"Frameri, S.L.",39,5,25,5,"Tenerife","Santa Cruz Tenerife","",100,0,28.471525,-16.24986,"Avenida Francisco La Roche 33  B",http://localhost:3000/installer/prospecting?lat=28.471525&lon=-16.249860&zoom=15
70,"Callao Salvaje",39,5,24,4.8,"Tenerife","Adeje","",100,0,28.12886,-16.78093,"Pj Valito Sau 14   00 25",http://localhost:3000/installer/prospecting?lat=28.128860&lon=-16.780930&zoom=15
71,"Vlagara",39,5,13,2.6,"Tenerife","Santiago Del Teide","",100,0,28.247562,-16.839137,"Calle El Pino 44   3",http://localhost:3000/installer/prospecting?lat=28.247562&lon=-16.839137&zoom=15
72,"Harbour Lights",39,5,20,4,"Lanzarote","Tias","",100,0,28.922042,-13.674237,"Calle Gran Canaria, 2 Esq. Calle Los Infantes, 14, Pta. F6 35510    , Puerto Del Carmen, Tias, Lanzarote",http://localhost:3000/installer/prospecting?lat=28.922042&lon=-13.674237&zoom=15
73,"Casitas De Niguan",39,5,15,3,"Lanzarote","Tinajo","",100,0,29.051285,-13.686581,"Ca Lle Cuartillo 9",http://localhost:3000/installer/prospecting?lat=29.051285&lon=-13.686581&zoom=15
74,"La Casita",38,61,261,4.3,"Tenerife, Gran Canaria, La Palma, La Gomera, El Hierro, Fuerteventura, Lanzarote","Arafo, La Orotava, Los Realejos, Adeje, Firgas, Santa Brigida, San Bartolome De Tirajana, Vega San Mateo, Guia Isora, Santiago Del Teide, La Guancha, Arona, Icod De Los Vinos, Santa Cruz Tenerife, La Matanza De Acentejo, Puerto De La Cruz, Arico, Tacoronte, San Miguel De Abona, Villa De Mazo, Los Llanos De Aridane, Valle Gran Rey, Hermigua, Valverde, Las Palmas De Gran Canaria, La Oliva, Antigua, Pájara, Yaiza, Tias, Tinajo, Teguise","",0,0,28.447373,-15.587692,"Camino Barranquillos, 5 5",http://localhost:3000/installer/prospecting?lat=28.447373&lon=-15.587692&zoom=15
75,"Jardines Canarios",38,7,33,4.7,"Tenerife","Arona, Adeje","",85,0,28.045516,-16.690995,"Avenida Juan Carlos I, Apt. Jardines Canarios, Nº 33, Escalera 1 Piso 07 Puerta C1",http://localhost:3000/installer/prospecting?lat=28.045516&lon=-16.690995&zoom=15
