Ranking,Gestora,Score,VVs,Camas,Camas/VV,Islas,Municipios,Complejos,Concentracion,Score Complejos,Lat,Lon,Direccion Ejemplo,Map URL
137,"Casa Bruno",32,5,19,3.8,"Tenerife, La Palma, Lanzarote","La Matanza De Acentejo, Los Llanos De Aridane, Tias","",70,0,28.766902,-15.068717,"C/ Acentejo, Urb. Jadin De La Paz, Nº 48",http://localhost:3000/installer/prospecting?lat=28.766902&lon=-15.068717&zoom=15
138,"Bella Vista",32,33,128,3.9,"Tenerife, La Palma, Gran Canaria, Fuerteventura, Lanzarote","Adeje, Tacoronte, San Miguel De Abona, Arico, Arona, Santiago Del Teide, Puntallana, Mogan, La Oliva, Antigua, Pájara, Yaiza, Tias","",0,0,28.535575,-15.108786,"Lugar Los Cuchillitos, 3",http://localhost:3000/installer/prospecting?lat=28.535575&lon=-15.108786&zoom=15
139,"Balcón Del Mar",32,5,17,3.4,"Tenerife, La Palma","Arona, Adeje, Tazacorte","",70,0,28.184587,-16.984861,"Calle Odisea, Nº 3, Piso 1, Puerta 49",http://localhost:3000/installer/prospecting?lat=28.184587&lon=-16.984861&zoom=15
140,"Casa Oliva",32,5,29,5.8,"Fuerteventura, Tenerife","La Oliva, Candelaria, Tuineje","",70,0,14355.134019,-14.020686,"Calle Nuestra Señora Del Pino",http://localhost:3000/installer/prospecting?lat=14355.134019&lon=-14.020687&zoom=15
141,"Bello Horizonte",32,5,17,3.4,"Gran Canaria, Tenerife","Las Palmas De Gran Canaria, San Bartolome De Tirajana, Icod De Los Vinos","",70,0,27.951929,-15.49593,"Portugal 070 1º, Pta. 120",http://localhost:3000/installer/prospecting?lat=27.951929&lon=-15.495930&zoom=15
142,"Mi Casa",32,5,21,4.2,"Gran Canaria, Fuerteventura, Lanzarote","Las Palmas De Gran Canaria, La Oliva, Yaiza","",70,0,28.620261,-14.252178,"Bernardo De La Torre 056 2º D",http://localhost:3000/installer/prospecting?lat=28.620261&lon=-14.252178&zoom=15
143,"La Puntilla",32,5,17,3.4,"Gran Canaria, Fuerteventura","Las Palmas De Gran Canaria, Aguimes, La Oliva","",70,0,28.298224,-14.929627,"Prudencio Morales 039 6º C",http://localhost:3000/installer/prospecting?lat=28.298224&lon=-14.929627&zoom=15
144,"Beach View",32,5,16,3.2,"Gran Canaria, Tenerife, Lanzarote","Las Palmas De Gran Canaria, Arona, Arrecife","",70,0,28.138497,-15.436683,"Portugal 070 2º, Pta. 209 - Edif. Bello Horizonte",http://localhost:3000/installer/prospecting?lat=28.138497&lon=-15.436683&zoom=15
145,"Estolomotokoko, Sociedad Limitada",32,5,18,3.6,"Gran Canaria, Fuerteventura","San Bartolome De Tirajana, Puerto Del Rosario, La Oliva","",70,0,28.290295,-14.584616,"Avda. Touroperador Tui 7 (3)  Bj65 160",http://localhost:3000/installer/prospecting?lat=28.290295&lon=-14.584616&zoom=15
146,"Sabina",32,5,29,5.8,"Tenerife","Adeje, Guia Isora, Candelaria","",70,0,28.237208,-16.660603,"Pj Valito Sau, Rocabella 14",http://localhost:3000/installer/prospecting?lat=28.237208&lon=-16.660603&zoom=15
147,"Vapagó Tenerife Holidays",32,5,20,4,"Tenerife","Adeje, Candelaria, Arona","",70,0,28.123587,-16.651479,"Calle Guatemala 4  0",http://localhost:3000/installer/prospecting?lat=28.123587&lon=-16.651479&zoom=15
148,"Balcon Del Atlantico",32,5,22,4.4,"Tenerife, Fuerteventura","Adeje, Garachico, Antigua","",70,0,28.208637,-16.161319,"Calle Baleares 1 Fase 1 C5",http://localhost:3000/installer/prospecting?lat=28.208637&lon=-16.161319&zoom=15
149,"Sol Y Luna",32,5,25,5,"Tenerife, La Palma, Fuerteventura","Arona, Breña Alta, La Oliva","",70,0,28.693012,-15.195029,"Avenida Jose Antonio Tavio  10  Ea5 Pbj 553",http://localhost:3000/installer/prospecting?lat=28.693012&lon=-15.195029&zoom=15
150,"Santa Maria",32,5,16,3.2,"Tenerife, Fuerteventura","Adeje, Pájara, La Oliva","",70,0,28.118037,-15.480475,"Urbanizacion San Eugenio S/N",http://localhost:3000/installer/prospecting?lat=28.118036&lon=-15.480476&zoom=15
151,"Paraiso Del Sol",32,5,17,3.4,"Tenerife, Fuerteventura","Adeje, Antigua, La Oliva","",70,0,28.210192,-15.803334,"Calle Aljibe, El 11",http://localhost:3000/installer/prospecting?lat=28.210192&lon=-15.803334&zoom=15
152,"Casa La Caleta",32,5,20,4,"Tenerife, La Palma, Lanzarote","Adeje, Los Llanos De Aridane, Teguise","",70,0,28.779932,-14.630955,"Calle El Medregal 3",http://localhost:3000/installer/prospecting?lat=28.779932&lon=-14.630955&zoom=15
153,"Casa Cactus",32,18,72,4,"Tenerife, Fuerteventura, Lanzarote","Adeje, La Oliva, Pájara, Tias, Teguise, San Bartolome","",25,0,28.753014,-13.979373,"Calle La Tosca  3  A 1 03",http://localhost:3000/installer/prospecting?lat=28.753014&lon=-13.979373&zoom=15
154,"Avenida",32,5,15,3,"Tenerife, Fuerteventura, Lanzarote","Puerto De La Cruz, La Oliva, Tias","",70,0,28.874893,-13.70283,"Avenida Familia Betancourt Y Molina 25   905",http://localhost:3000/installer/prospecting?lat=28.874893&lon=-13.702830&zoom=15
155,"Casa Papagayo",32,5,20,4,"Tenerife, Lanzarote","Santa Cruz Tenerife, Yaiza, Arona","",70,0,28.578976,-14.747996,"Calle Prosperidad  41   Bajo",http://localhost:3000/installer/prospecting?lat=28.578976&lon=-14.747996&zoom=15
156,"Casa El Charco",32,5,23,4.6,"La Gomera, Lanzarote","Agulo, Haria, Arrecife","",70,0,29.09207,-13.498331,"Ctra Circunvalacion El Charco S/N Planta Baja  38830    , Agulo, Agulo, La Gomera",http://localhost:3000/installer/prospecting?lat=29.092070&lon=-13.498331&zoom=15
157,"Casa Kiwi",32,5,23,4.6,"Gran Canaria, Fuerteventura, Lanzarote","San Bartolome De Tirajana, La Oliva, Tias","",70,0,28.344861,-14.605416,"Calle Las Dalias 2",http://localhost:3000/installer/prospecting?lat=28.344860&lon=-14.605417&zoom=15
158,"La Cancela",32,5,43,8.6,"Gran Canaria, Fuerteventura, Lanzarote","Las Palmas De Gran Canaria, La Oliva, Yaiza","",70,0,28.760468,-13.897314,"La Cancela  15",http://localhost:3000/installer/prospecting?lat=28.760468&lon=-13.897314&zoom=15
159,"Palmera",32,5,26,5.2,"Fuerteventura, Lanzarote","Puerto Del Rosario, Tinajo, Yaiza","",70,0,28.82279,-13.790654,"Palmera Canaria 19, 1º Izda.",http://localhost:3000/installer/prospecting?lat=28.822790&lon=-13.790654&zoom=15
160,"Casa Coco",32,5,17,3.4,"Fuerteventura, Lanzarote","Pájara, La Oliva, Tias","",70,0,28.666491,-13.845558,"C/ Punta De Barlovento, N 2, Apto. 302 35627    , Costa Calma, Pajara, Fuerteventura",http://localhost:3000/installer/prospecting?lat=28.666491&lon=-13.845558&zoom=15
161,"Casa Pitaya",32,5,23,4.6,"Fuerteventura, Lanzarote","La Oliva, Teguise, Arrecife","",70,0,28.833614,-13.719395,"C/ Cardon N72 35660    , Corralejo, La Oliva, Fuerteventura",http://localhost:3000/installer/prospecting?lat=28.833614&lon=-13.719395&zoom=15
162,"Casa Varadero",32,5,20,4,"Lanzarote","Teguise, Haria, Tias","",70,0,29.107476,-13.520397,"Avda Virgen Del Mar 123",http://localhost:3000/installer/prospecting?lat=29.107476&lon=-13.520397&zoom=15
163,"Los Geranios",31,11,37,3.4,"Tenerife, La Palma","Arona, Tacoronte, Candelaria, Adeje, Tijarafe","",40,0,28.210508,-16.564051,"C/ De La Te Nº 6, Urb. Los Geranios,  Vivienda 65",http://localhost:3000/installer/prospecting?lat=28.210508&lon=-16.564051&zoom=15
164,"Balcon Del Mar",31,16,46,2.9,"Tenerife, Fuerteventura, Lanzarote","Arona, Tacoronte, Guia Isora, Icod De Los Vinos, La Oliva, Tias","",25,0,28.147079,-16.428576,"C/ Odisea, 3 , Edf.Balcon Del Mar, Planta 4ª, Vda. 93",http://localhost:3000/installer/prospecting?lat=28.147079&lon=-16.428576&zoom=15
165,"Casa Lola",31,30,136,4.5,"Tenerife, Gran Canaria, La Palma, La Gomera, Fuerteventura, Lanzarote","Tacoronte, Agaete, Telde, San Bartolome De Tirajana, Galdar, Vega San Mateo, Los Realejos, Puerto De La Cruz, Guia Isora, Tazacorte, Valle Gran Rey, Antigua, La Oliva, Yaiza, Tinajo, Teguise, Tias, Arrecife, Arona","",0,0,28.500758,-14.863163,"Pasaje Tindaya, Nº 5 5",http://localhost:3000/installer/prospecting?lat=28.500758&lon=-14.863163&zoom=15
166,"Yaiza",31,7,31,4.4,"Tenerife, Gran Canaria, Lanzarote","Arona, Puerto De La Cruz, San Bartolome De Tirajana, Yaiza","",55,0,28.541113,-15.239563,"Calle Los Falcones Nº 3bloque B Piso Z Puerta 6 3",http://localhost:3000/installer/prospecting?lat=28.541113&lon=-15.239563&zoom=15
167,"Lavanda",31,11,41,3.7,"Tenerife, Gran Canaria, Fuerteventura","Arona, Granadilla De Abona, Mogan, La Oliva, Puerto Del Rosario","",40,0,28.140567,-16.04339,"Paseo Areca  N º 1 Piso 2 Puerta 2-3",http://localhost:3000/installer/prospecting?lat=28.140567&lon=-16.043390&zoom=15
168,"Las Arenas",31,11,43,3.9,"Tenerife, Gran Canaria, Fuerteventura","Arico, Granadilla De Abona, San Bartolome De Tirajana, Antigua, Pájara","",40,0,28.231615,-14.527785,"C/ Lorenzo Rodriguez, 31, Bajo (Las Arenas)",http://localhost:3000/installer/prospecting?lat=28.231615&lon=-14.527785&zoom=15
169,"El Dorado",31,16,49,3.1,"Tenerife, La Gomera, Gran Canaria, Lanzarote","Arona, Granadilla De Abona, Valle Gran Rey, Mogan, San Bartolome De Tirajana, Tias","",25,0,28.139809,-16.448628,"Avda Santiago Puig N 4 Piso 8 Pt 17",http://localhost:3000/installer/prospecting?lat=28.139809&lon=-16.448628&zoom=15
170,"Paradise Home",31,7,29,4.1,"Tenerife, Fuerteventura","Arona, Adeje, Antigua, La Oliva","",55,0,28.407898,-15.022241,"Avenida De La Arenita 11    H6",http://localhost:3000/installer/prospecting?lat=28.407898&lon=-15.022241&zoom=15
171,"Casa Alice",31,7,27,3.9,"Tenerife, Gran Canaria, Fuerteventura, Lanzarote","Arona, Mogan, La Oliva, Yaiza","",55,0,28.488519,-14.646624,"Avd Jose Antonio Tavio 17  1",http://localhost:3000/installer/prospecting?lat=28.488519&lon=-14.646624&zoom=15
172,"Vista Al Mar",31,30,109,3.6,"Gran Canaria, Tenerife, La Palma, La Gomera, El Hierro, Fuerteventura, Lanzarote","Las Palmas De Gran Canaria, Adeje, Icod De Los Vinos, Santa Cruz Tenerife, Puerto De La Cruz, Guia Isora, Granadilla De Abona, Arico, Puntagorda, Tazacorte, Valle Gran Rey, Frontera, La Oliva, Antigua, Puerto Del Rosario, Tias, Yaiza, Arona","",0,0,28.369022,-16.089725,"Alfredo L. Jones 042 1º, Puerta 12",http://localhost:3000/installer/prospecting?lat=28.369022&lon=-16.089725&zoom=15
173,"Casa Bea",31,7,32,4.6,"Gran Canaria, Tenerife, Fuerteventura","San Bartolome De Tirajana, Arona, La Oliva, Pájara","",55,0,28.292871,-15.020198,"Avenida Tenerife 11, Portal 3, 2, Puerta 281 35100    , Playa Del Ingles, San Bartolome De Tirajana, Gran Canaria",http://localhost:3000/installer/prospecting?lat=28.292871&lon=-15.020198&zoom=15
174,"Altamar",31,7,28,4,"Tenerife, Lanzarote","Arona, Guia Isora, Adeje, Tias","",55,0,28.279857,-15.962374,"Avenida Arquitecto Gomez Cuesta 10 1",http://localhost:3000/installer/prospecting?lat=28.279857&lon=-15.962374&zoom=15
175,"Casa Aguamarina",31,7,26,3.7,"Tenerife, Gran Canaria, Fuerteventura, Lanzarote","Granadilla De Abona, Aguimes, La Oliva, San Bartolome","",55,0,28.463796,-14.691272,"Calle La Graciosa. Edificio Marineda 2 A",http://localhost:3000/installer/prospecting?lat=28.463796&lon=-14.691272&zoom=15
176,"Casa Sandra",31,7,33,4.7,"Tenerife, Fuerteventura, Lanzarote","Candelaria, La Oliva, Yaiza, Arona","",55,0,28.600554,-14.723645,"Cm Pringado El  7",http://localhost:3000/installer/prospecting?lat=28.600554&lon=-14.723645&zoom=15
177,"Casa Tranquila",31,7,26,3.7,"Tenerife, La Palma, Lanzarote","Puerto De La Cruz, Los Llanos De Aridane, Yaiza, San Bartolome","",55,0,28.749046,-15.16103,"Calle Tigalate 4",http://localhost:3000/installer/prospecting?lat=28.749046&lon=-15.161030&zoom=15
178,"Casa Paloma",31,7,35,5,"Fuerteventura, Lanzarote","Pájara, La Oliva, Yaiza, Teguise","",55,0,28.826402,-13.773954,"Playa De La Jaqueta",http://localhost:3000/installer/prospecting?lat=28.826402&lon=-13.773954&zoom=15
179,"La Pardela",30,10,45,4.5,"Tenerife, Gran Canaria, Fuerteventura, Lanzarote","Granadilla De Abona, Arico, Arucas, Tuineje, Teguise","",40,0,28.728309,-14.741484,"Paseo Las Pardelas, Nº 1, Bloque 1, Esc. 1. Piso 1º, Puerta 1",http://localhost:3000/installer/prospecting?lat=28.728309&lon=-14.741484&zoom=15
180,"La Casa Verde",30,10,40,4,"Tenerife, Gran Canaria, La Palma, El Hierro","Puerto De La Cruz, San Cristobal De La Laguna, Las Palmas De Gran Canaria, Los Llanos De Aridane, El Pinar De El Hierro","",40,0,28.336275,-16.696998,"Ctra. General  Las Arenas, Nº 94, 1º, Puerta 5",http://localhost:3000/installer/prospecting?lat=28.336275&lon=-16.696998&zoom=15
181,"Paraiso",30,28,116,4.1,"Tenerife, Fuerteventura, La Gomera, Gran Canaria, Lanzarote","San Miguel De Abona, Santa Cruz Tenerife, Adeje, Santa Ursula, Guimar, Arico, Arona, La Oliva, Candelaria, San Sebastian De La Gomera, San Bartolome De Tirajana, Pájara, Tias, Arrecife, Yaiza","",0,0,28.344482,-15.600094,"Calle Antonio Machado Nº19,Piso 1º,Puerta I",http://localhost:3000/installer/prospecting?lat=28.344482&lon=-15.600094&zoom=15
182,"San Andres",30,6,22,3.7,"Tenerife, Gran Canaria","Santa Cruz Tenerife, Los Realejos, Arucas, San Miguel De Abona","",55,0,28.297949,-15.975919,"C/ Florida Primera, Piso 24, Pta. A",http://localhost:3000/installer/prospecting?lat=28.297949&lon=-15.975919&zoom=15
183,"Casa La Asomada",30,6,31,5.2,"Tenerife, El Hierro, Fuerteventura, Lanzarote","Buenavista Del Norte, El Pinar De El Hierro, Puerto Del Rosario, Tias","",55,0,28.5077,-15.213448,"C/. La Asomada Del Guirre, 8",http://localhost:3000/installer/prospecting?lat=28.507700&lon=-15.213448&zoom=15
184,"Casa Jorge",30,6,25,4.2,"Tenerife, Gran Canaria, Fuerteventura","Puerto De La Cruz, Santa Cruz Tenerife, San Bartolome De Tirajana, Antigua","",55,0,28.15773,-15.563169,"C/ Rosa Nº18 Urb. San Jose",http://localhost:3000/installer/prospecting?lat=28.157730&lon=-15.563169&zoom=15
185,"Lobos",30,6,25,4.2,"Gran Canaria, Fuerteventura","Las Palmas De Gran Canaria, La Oliva, Antigua, Tuineje","",55,0,28.494497,-14.25346,"Manuel González Martín 12,3ºb",http://localhost:3000/installer/prospecting?lat=28.494497&lon=-14.253460&zoom=15
186,"Vista Hermosa",30,6,34,5.7,"Gran Canaria, Tenerife, Lanzarote","Las Palmas De Gran Canaria, Adeje, Arona, Yaiza","",55,0,28.245279,-15.883802,"Antonio Maria Manrique 002 Conj. Resid. La Cornisa, 11º B",http://localhost:3000/installer/prospecting?lat=28.245279&lon=-15.883802&zoom=15
187,"Paula",30,6,40,6.7,"Gran Canaria, Fuerteventura, Lanzarote","Las Palmas De Gran Canaria, Aguimes, Pájara, Yaiza","",55,0,28.406763,-14.614317,"A Los Hoyos 142 B",http://localhost:3000/installer/prospecting?lat=28.406763&lon=-14.614317&zoom=15
188,"Los Cactus",30,6,24,4,"Gran Canaria, El Hierro, Lanzarote","Las Palmas De Gran Canaria, Valverde, San Bartolome, Haria","",55,0,28.263876,-15.593156,"Barcelona 023 3º A",http://localhost:3000/installer/prospecting?lat=28.263876&lon=-15.593156&zoom=15
189,"Casa Feliz",30,28,130,4.6,"Gran Canaria, Tenerife, La Palma, La Gomera, Fuerteventura, Lanzarote","Mogan, San Bartolome De Tirajana, Arona, Breña Alta, Alajero, La Oliva, Puerto Del Rosario, Tuineje, Antigua, Pájara, Yaiza, Tias, Candelaria","",0,0,28.563463,-14.569514,"C/ Gran Canaria, N 4, Pta. 11 35139    , Puerto Rico, Mogan, Gran Canaria",http://localhost:3000/installer/prospecting?lat=28.563463&lon=-14.569514&zoom=15
190,"Casa Verde",30,27,110,4.1,"Gran Canaria, Tenerife, La Palma, Fuerteventura, Lanzarote","Mogan, Las Palmas De Gran Canaria, San Bartolome De Tirajana, Ingenio, San Miguel De Abona, El Paso, Santa Cruz De La Palma, Santa Maria De Guia De Gran Canaria, Pájara, La Oliva, Yaiza, Teguise","",0,0,28.398555,-15.062045,"Calle Acoran 21, Puerta 3 35120    , Arguineguin, Mogan, Gran Canaria",http://localhost:3000/installer/prospecting?lat=28.398555&lon=-15.062045&zoom=15
191,"La Finca",30,6,35,5.8,"Tenerife, Gran Canaria, Lanzarote","Arona, Tacoronte, Telde, Tias","",55,0,28.499897,-14.865558,"Calle Tinguafaya 6  00",http://localhost:3000/installer/prospecting?lat=28.499897&lon=-14.865558&zoom=15
192,"Marisol",30,6,25,4.2,"Tenerife, La Palma, Gran Canaria, Lanzarote","Adeje, Santa Cruz De La Palma, Mogan, Yaiza","",55,0,28.073434,-16.46253,"Cl Noruega 2   00 C10",http://localhost:3000/installer/prospecting?lat=28.073434&lon=-16.462530&zoom=15
193,"Casa Zoe",30,6,32,5.3,"Tenerife, Lanzarote","Arona, La Victoria De Acentejo, Yaiza, Tias","",55,0,28.620207,-14.715107,"Cl Martin Gonzalez  2",http://localhost:3000/installer/prospecting?lat=28.620207&lon=-14.715107&zoom=15
194,"Dream House",30,6,29,4.8,"Tenerife, Fuerteventura, Lanzarote","Arona, Tacoronte, Antigua, Tias","",55,0,28.284971,-15.503718,"Avenida Juan Carlos I 16  1",http://localhost:3000/installer/prospecting?lat=28.284971&lon=-15.503718&zoom=15
195,"Montaña Roja",30,6,24,4,"Tenerife, Fuerteventura, Lanzarote","Granadilla De Abona, Pájara, Yaiza, La Oliva","",55,0,28.279506,-15.291289,"Avenida Magallanes  21  A",http://localhost:3000/installer/prospecting?lat=28.279506&lon=-15.291289&zoom=15
196,"Los Olivos",30,6,41,6.8,"Tenerife, El Hierro, Fuerteventura","Adeje, Frontera, Tuineje, Santa Ursula","",55,0,28.192823,-16.675916,"Cl San Jose 2  2",http://localhost:3000/installer/prospecting?lat=28.192823&lon=-16.675916&zoom=15
197,"Casa Calma",30,27,117,4.3,"Tenerife, Fuerteventura, Lanzarote","Adeje, Puerto De La Cruz, Tacoronte, Arona, La Oliva, Antigua, Pájara, Tias, Teguise, Yaiza, San Bartolome","",0,0,28.515629,-14.660886,"Calle Italia  06 A",http://localhost:3000/installer/prospecting?lat=28.515629&lon=-14.660886&zoom=15
198,"Maresía",30,6,30,5,"Tenerife, Lanzarote","Puerto De La Cruz, San Cristobal De La Laguna, Granadilla De Abona, Haria","",55,0,28.704481,-15.450781,"Cl Mequinez  48",http://localhost:3000/installer/prospecting?lat=28.704481&lon=-15.450781&zoom=15
199,"Casa Frida",30,6,27,4.5,"La Palma, Gran Canaria, Fuerteventura","Los Llanos De Aridane, San Bartolome De Tirajana, La Oliva, Antigua","",55,0,28.608091,-14.907094,"La Majada 28",http://localhost:3000/installer/prospecting?lat=28.608091&lon=-14.907094&zoom=15
200,"El Charco",30,6,21,3.5,"La Gomera, El Hierro, Fuerteventura, Lanzarote","Agulo, Valverde, Puerto Del Rosario, Arrecife","",55,0,28.330151,-15.934971,"El Charco-Elcalvario Es:4. Pl:01 2 Puerta 1",http://localhost:3000/installer/prospecting?lat=28.330151&lon=-15.934971&zoom=15